date,portfolio_volatility,average_correlation,pc1_variance_share,regime_stress_score,regime
2015-10-14,0.05893902323809731,0.09351635978407755,0.44636118908333544,0.5,transitional
2015-10-15,0.05895402787353494,0.09384885278439972,0.4493208640402079,0.513189448441247,transitional
2015-10-16,0.05901599799121425,0.09844093415476059,0.4527946425783873,0.5404761904761904,transitional
2015-10-19,0.059071388893261856,0.09972304595926462,0.4533627131561435,0.5508274231678487,transitional
2015-10-20,0.05911259436110671,0.10055805621631635,0.45294086215501317,0.5539906103286385,transitional
2015-10-21,0.059056590037976434,0.09528874998216558,0.4482715328344246,0.5104895104895105,transitional
2015-10-22,0.05949565806241855,0.09705067873937867,0.4454361014445014,0.5185185185185185,transitional
2015-10-23,0.05959908908775239,0.10050804216260026,0.45246674752307875,0.5724137931034483,transitional
2015-10-26,0.05922153194538133,0.09757686635940657,0.4510289351436756,0.5433789954337899,transitional
2015-10-27,0.05921770223184196,0.10154560094215222,0.4549061111472515,0.5782312925170068,transitional
2015-10-28,0.05901050747347849,0.10138546177281196,0.461666046061021,0.563063063063063,transitional
2015-10-29,0.06018653077792274,0.10372861631520829,0.4615581848714509,0.6241610738255033,transitional
2015-10-30,0.060283968023316814,0.10582788986423008,0.4613914494294736,0.6266666666666666,transitional
2015-11-02,0.06005603182455817,0.10605774973085466,0.46570381731637855,0.6313465783664459,transitional
2015-11-03,0.060407564406193805,0.11367201209756542,0.4726668059174048,0.6666666666666666,transitional
2015-11-04,0.0603791909440686,0.1154928614844661,0.46886513016726644,0.6601307189542484,transitional
2015-11-05,0.06061954941957144,0.12037796592699927,0.4734170235575316,0.6818181818181818,transitional
2015-11-06,0.06312886405673682,0.14163714198363023,0.48427093718023745,0.7311827956989246,stressed
2015-11-09,0.06303908935144589,0.13825070644715615,0.48175564270004795,0.717948717948718,stressed
2015-11-10,0.06286512902693106,0.13891087721588471,0.4828643210924119,0.7176220806794055,stressed
2015-11-11,0.06277346707350263,0.14030886396809292,0.4855096647990709,0.7278481012658228,stressed
2015-11-12,0.062104195919756806,0.13658174576416313,0.4781607915817879,0.6939203354297693,transitional
2015-11-13,0.06198367732704834,0.14074431101118642,0.47346712868767005,0.69375,transitional
2015-11-16,0.06187689517662401,0.14361674367914073,0.4717377337759674,0.6873706004140786,transitional
2015-11-17,0.05930751471202598,0.13442945137382664,0.4811206082400606,0.6460905349794239,transitional
2015-11-18,0.0561572065706641,0.11135016091673999,0.4818552908210144,0.5480572597137013,transitional
2015-11-19,0.056817055055404304,0.1280272067130314,0.4689709827147275,0.5426829268292682,transitional
2015-11-20,0.0562215477511259,0.12694882335555538,0.4742473501840921,0.5494949494949495,transitional
2015-11-23,0.05614562662044896,0.12626388130532165,0.4724403246953853,0.5301204819277109,transitional
2015-11-24,0.05550782331261544,0.1198744680605176,0.47594452956312805,0.5389221556886228,transitional
2015-11-25,0.055147442616410296,0.1280810329378887,0.46973149556441757,0.5257936507936508,transitional
2015-11-27,0.05554986609331134,0.13149674619977259,0.46625604496734074,0.5187376725838265,transitional
2015-11-30,0.05562899082752749,0.1358708995507966,0.471699417539965,0.5470588235294117,transitional
2015-12-01,0.05723007544541846,0.1531537018306796,0.46651243889537025,0.5653021442495126,transitional
2015-12-02,0.05874220857170554,0.18990123002277665,0.477380262879867,0.6279069767441862,transitional
2015-12-03,0.05937554854117028,0.14743162427600218,0.4233807883774193,0.48554913294797686,calm
2015-12-04,0.0632452708450986,0.16881054899025594,0.4224668152149799,0.5478927203065135,transitional
2015-12-07,0.06337135873777643,0.1641184098500914,0.41803736661647617,0.5238095238095238,transitional
2015-12-08,0.06347734770509816,0.16495344477726098,0.41735527460993316,0.5227272727272728,transitional
2015-12-09,0.06274192400674351,0.16074659752147702,0.40729915223915847,0.4821092278719397,calm
2015-12-10,0.06156719454013818,0.15412434932010408,0.4090633462598911,0.4737827715355805,calm
2015-12-11,0.05995656515262305,0.1340635813395997,0.40444749973143046,0.41340782122905023,calm
2015-12-14,0.06147695197436044,0.15388456687519406,0.41225513869200053,0.48148148148148157,calm
2015-12-15,0.060733537728034394,0.1503051372046581,0.40886364009802223,0.4604051565377532,calm
2015-12-16,0.061329256485624845,0.16175802261064237,0.41295680435345844,0.489010989010989,calm
2015-12-17,0.06260655712486662,0.15745225409666713,0.4026974345122026,0.4772313296903461,calm
2015-12-18,0.061824970985753895,0.15390876421027705,0.40449411288698994,0.4692028985507246,calm
2015-12-21,0.061581090072541325,0.14770582037415145,0.40006744105084596,0.45585585585585586,calm
2015-12-22,0.061201881626233245,0.16115749740225643,0.40979534754724056,0.482078853046595,calm
2015-12-23,0.06125746427068717,0.15955703203930277,0.4078199075871135,0.4741532976827094,calm
2015-12-24,0.06170559009370533,0.16705737539732768,0.41068070839934356,0.5035460992907802,transitional
2015-12-28,0.0618451954881393,0.16753823568611453,0.4101662450267422,0.5044091710758377,transitional
2015-12-29,0.05851755891506034,0.1402323326544233,0.41025351931467324,0.3631578947368421,calm
2015-12-30,0.05885146623960817,0.147676747180004,0.40602230457791155,0.3699825479930192,calm
2015-12-31,0.058356197150878274,0.1419400186623801,0.40105761702845094,0.34375,calm
2016-01-04,0.058118458099296416,0.13324811223826147,0.40538257184069076,0.32642487046632124,calm
2016-01-05,0.058085144585875464,0.13635627798173588,0.40275825570714524,0.3247422680412371,calm
2016-01-06,0.05807512193172467,0.13278667498788715,0.41168083254435206,0.34700854700854705,calm
2016-01-07,0.057481455085663054,0.1206692010582088,0.41149577130787274,0.3248299319727891,calm
2016-01-08,0.057765082223051316,0.12169649988005944,0.41086795274161714,0.32487309644670054,calm
2016-01-11,0.05551979408541842,0.0982571408474084,0.39957711738881835,0.2239057239057239,calm
2016-01-12,0.05575928948668858,0.0937702931710327,0.3931358545446337,0.21273031825795644,calm
2016-01-13,0.05577236457699175,0.08825872609621221,0.40019248108541705,0.215,calm
2016-01-14,0.056025618056209626,0.08523996349947106,0.41122376142538264,0.24543946932006633,calm
2016-01-15,0.05606208514616121,0.07674905540181301,0.41119941080115024,0.22607260726072606,calm
2016-01-19,0.05618038197901727,0.08314364764424151,0.4139147111339502,0.26108374384236455,calm
2016-01-20,0.05577018258922624,0.07744632621882805,0.4231653878389129,0.27941176470588236,calm
2016-01-21,0.05578455088832903,0.07623176316414376,0.42035667350567546,0.2699186991869919,calm
2016-01-22,0.05619122969354315,0.07710417274525243,0.41918687270137944,0.2750809061488673,calm
2016-01-25,0.0561758264510751,0.07454327714132936,0.41949929212702264,0.27214170692431566,calm
2016-01-26,0.05843418160818099,0.09347936537465706,0.41199813239267574,0.3237179487179487,calm
2016-01-27,0.05772748513823694,0.09718294317775009,0.40445719246987744,0.27910685805422647,calm
2016-01-28,0.05761402077357283,0.09334755346129169,0.4032223844259884,0.26666666666666666,calm
2016-01-29,0.05950442216211855,0.09938714096805581,0.39288075689511753,0.334913112164297,calm
2016-02-01,0.059564255661625064,0.09650194120083386,0.3899269996253061,0.3286163522012579,calm
2016-02-02,0.05930874296866491,0.08946597171035839,0.39026351016075783,0.3051643192488263,calm
2016-02-03,0.05938925696046745,0.08267601480039384,0.389766365835725,0.2897196261682243,calm
2016-02-04,0.05661779062984672,0.05542057862707313,0.3901535201552863,0.16899224806201552,calm
2016-02-05,0.05658000191489768,0.052708326274613346,0.39125057119433954,0.16666666666666666,calm
2016-02-08,0.05726528676021694,0.051336644393037964,0.4041080698491786,0.2012288786482335,calm
2016-02-09,0.05725798614567154,0.05152324796477483,0.40404276278007195,0.2018348623853211,calm
2016-02-10,0.05776087672526603,0.056998292939556806,0.4030985541992737,0.2191780821917808,calm
2016-02-11,0.05917505939792825,0.05151201789549403,0.41205844153158844,0.30303030303030304,calm
2016-02-12,0.0590130700819239,0.04373555836582105,0.4259411004189014,0.34539969834087486,calm
2016-02-16,0.06170604536224246,0.062248563272339796,0.43310787194756023,0.45645645645645644,calm
2016-02-17,0.06150336984767197,0.05936459552628605,0.4331145808803675,0.44992526158445445,calm
2016-02-18,0.06327799228795203,0.06751930189580374,0.43885510489271634,0.494047619047619,calm
2016-02-19,0.06312946767951524,0.0659694194206586,0.4389187665914683,0.49037037037037035,calm
2016-02-22,0.0633415871983938,0.06146976943111297,0.43592359480925486,0.4808259587020649,calm
2016-02-23,0.06332189482048581,0.05780344325627408,0.43914658384562705,0.4889867841409692,calm
2016-02-24,0.06332189346258808,0.057796305458433686,0.43899868222532984,0.48391812865497075,calm
2016-02-25,0.063719437481727,0.06293478469377724,0.43405295500653135,0.4861717612809316,calm
2016-02-26,0.06472655685056163,0.0678090712870371,0.4325356179821472,0.4898550724637681,calm
2016-02-29,0.06337587008819479,0.05854926923325114,0.4393173388606035,0.4963924963924964,transitional
2016-03-01,0.06141732548308386,0.04134512527477063,0.45502803816526344,0.48850574712643674,calm
2016-03-02,0.06084723253036544,0.07085926952599475,0.48266780992813724,0.5937052932761088,transitional
2016-03-03,0.058888954211891505,0.06578026467862877,0.4916571824951717,0.5327635327635328,transitional
2016-03-04,0.05864049867618293,0.06855264309364355,0.4976263271453653,0.5418439716312057,transitional
2016-03-07,0.05852489958899228,0.06756319505321802,0.49816695548400863,0.5395480225988701,transitional
2016-03-08,0.05856319804376616,0.06602020683029688,0.49606397113108186,0.530239099859353,transitional
2016-03-09,0.058778526592920814,0.06592216781664884,0.4978539498239535,0.5378151260504201,transitional
2016-03-10,0.05922500968717297,0.06827082930103379,0.49178325596004036,0.5676429567642957,transitional
2016-03-11,0.05726192548162442,0.04726852486163529,0.48126298985763555,0.42777777777777776,calm
2016-03-14,0.05758025294313856,0.04413274942021121,0.4765216461584391,0.4218533886583679,calm
2016-03-15,0.057281336818936504,0.04485664357082701,0.4795189971679734,0.42699724517906334,calm
2016-03-16,0.058039624716917294,0.061071829804760135,0.49000364322037987,0.49108367626886146,calm
2016-03-17,0.05869526644223067,0.06503369262986322,0.4873736988739048,0.5163934426229508,transitional
2016-03-18,0.05843514289386822,0.06423894078848667,0.48792464679244213,0.508843537414966,transitional
2016-03-21,0.059097284024392426,0.06843881973134322,0.486212735945267,0.5528455284552846,transitional
2016-03-22,0.059413677254363494,0.07174896251461224,0.48554601093169125,0.5775978407557355,transitional
2016-03-23,0.059822866465295804,0.05797072838643064,0.47042169350214424,0.5120967741935484,transitional
2016-03-24,0.05954390012326306,0.05648500356681678,0.4716860632014993,0.499330655957162,transitional
2016-03-28,0.05917153437852518,0.05500242050978107,0.4677620977594337,0.45999999999999996,calm
2016-03-29,0.06182374430284406,0.07354087697050288,0.4663998453448194,0.5750332005312085,transitional
2016-03-30,0.06256490130866366,0.07620534833117935,0.4697163037621926,0.6005291005291005,transitional
2016-03-31,0.06264959962545996,0.07813813411031359,0.47113060572347326,0.619235836627141,transitional
2016-04-01,0.06267050390069685,0.07437540731714323,0.4692272434508652,0.5971128608923885,transitional
2016-04-04,0.06263685059102449,0.07663244708287564,0.46157389300237156,0.5777777777777778,transitional
2016-04-05,0.06247230242818645,0.07266397190869,0.4682558295308877,0.58203125,transitional
2016-04-06,0.06200624406878595,0.07022918106617028,0.47304097845174814,0.5940337224383917,transitional
2016-04-07,0.061188475967517544,0.06349552849248556,0.47642742335072497,0.5607235142118863,transitional
2016-04-08,0.06119140908781921,0.06534775072565965,0.48468978341342334,0.5907335907335908,transitional
2016-04-11,0.06121227806119582,0.0654880667975441,0.48126072943066966,0.5794871794871795,transitional
2016-04-12,0.06058307433124074,0.06290440496353106,0.4717223831856063,0.5287356321839081,transitional
2016-04-13,0.06031598606202298,0.06453688618148348,0.47233887096358607,0.534351145038168,transitional
2016-04-14,0.061014781162581494,0.06633370827067646,0.47378985601675233,0.5665399239543726,transitional
2016-04-15,0.06131660602600683,0.07123602983482527,0.4723850066607016,0.577020202020202,transitional
2016-04-18,0.06128601774353712,0.07263210070641572,0.47187927232102056,0.5786163522012578,transitional
2016-04-19,0.06173335659127329,0.07308728614262314,0.468886728817567,0.5764411027568922,transitional
2016-04-20,0.06273827216024454,0.08103832318113127,0.473027354432083,0.6454431960049938,transitional
2016-04-21,0.06170693200482094,0.07428148802667295,0.47418673681347684,0.6119402985074628,transitional
2016-04-22,0.06121074242812416,0.06432937900715821,0.4792321342975294,0.5700123915737298,transitional
2016-04-25,0.06126047610088877,0.06568292321301437,0.4780213397519467,0.5728395061728394,transitional
2016-04-26,0.06008954669403661,0.056456699771143856,0.4961556415528171,0.5670356703567035,transitional
2016-04-27,0.06016136594737418,0.0646221333074524,0.4983237538753949,0.6029411764705882,transitional
2016-04-28,0.06048026405205959,0.069136468263082,0.5032850391956439,0.6361416361416362,transitional
2016-04-29,0.06047415302802561,0.07540798819002485,0.5072872217285519,0.6581508515815085,transitional
2016-05-02,0.060314700473780555,0.07308374743581747,0.5100256305260071,0.6436363636363637,transitional
2016-05-03,0.060231164047069255,0.06449351983266459,0.5129901684984488,0.6074879227053139,transitional
2016-05-04,0.06008956039189548,0.07427811814966687,0.49872961951971057,0.6305655836341757,transitional
2016-05-05,0.06003927088830865,0.07546825749939448,0.5015561429452323,0.6354916067146282,transitional
2016-05-06,0.0595858202610641,0.07250329862812609,0.4993278568378844,0.6057347670250895,transitional
2016-05-09,0.05902187916391496,0.083861258283196,0.48710690661656,0.5833333333333334,transitional
2016-05-10,0.059300181411798644,0.09902748540566278,0.4713619532244302,0.5753262158956108,transitional
2016-05-11,0.055941677280144556,0.08745875019032018,0.4440521554601953,0.375886524822695,calm
2016-05-12,0.056206867991695976,0.09219600837866207,0.44589570388887695,0.40282685512367494,calm
2016-05-13,0.0537164860841596,0.07598906972314921,0.43239023588332776,0.27699530516431925,calm
2016-05-16,0.05362692617171009,0.07089243590365495,0.4376563311466475,0.2631578947368421,calm
2016-05-17,0.05303701869232447,0.07883703808586344,0.4396678382205736,0.3111888111888112,calm
2016-05-18,0.05484645139150628,0.08488131582920896,0.4429987970695369,0.36236933797909404,calm
2016-05-19,0.05484390908574273,0.0852419236155634,0.4440270120259719,0.36574074074074076,calm
2016-05-20,0.053994852881999726,0.07319348238159155,0.45265098353893596,0.33794694348327564,calm
2016-05-23,0.052678969117174776,0.06281622377866569,0.45647334339938295,0.2850574712643678,calm
2016-05-24,0.05247796063490264,0.05620477221701572,0.46615966046503904,0.28636884306987404,calm
2016-05-25,0.052427953104200925,0.07176362382690679,0.4438744465668119,0.2808219178082192,calm
2016-05-26,0.05142406081505444,0.06141833649166828,0.4469145815657959,0.24573378839590443,calm
2016-05-27,0.04955550919533309,0.0463158390322891,0.4511408910140634,0.23015873015873015,calm
2016-05-31,0.04956416530737003,0.044906917044223685,0.4527208005727071,0.23615819209039546,calm
2016-06-01,0.04945751507765657,0.04356155630454753,0.45248304181367105,0.22860360360360357,calm
2016-06-02,0.04960069940376106,0.05438573780450364,0.44326991632192436,0.2166105499438833,calm
2016-06-03,0.05359098531221035,0.07846571536580642,0.4523695393803463,0.3680089485458613,calm
2016-06-06,0.05323003342763104,0.07930009109691542,0.4577633556174162,0.38127090301003347,calm
2016-06-07,0.05329909519736089,0.09025205869997918,0.45818138417864096,0.41,calm
2016-06-08,0.05361557955727341,0.09555598342502762,0.46222883256878494,0.43521594684385384,calm
2016-06-09,0.05340096680322642,0.09266355622039246,0.4640556875793405,0.4271523178807947,calm
2016-06-10,0.05112726182497383,0.07298300320065307,0.47467421234427254,0.39163916391639164,calm
2016-06-13,0.050246477480929794,0.062127345479410234,0.4774862355933856,0.3508771929824561,calm
2016-06-14,0.05058920858782657,0.06656323027898961,0.47565219967374,0.3704918032786885,calm
2016-06-15,0.050162863238581414,0.06370863018855291,0.4763522447634136,0.3540305010893246,calm
2016-06-16,0.04983407045129816,0.05869892740854996,0.47732433928739654,0.34310532030401736,calm
2016-06-17,0.04904858880971975,0.06414463764304092,0.48385933172848794,0.37445887445887444,calm
2016-06-20,0.049140196817789195,0.05077931909059323,0.4949431543951664,0.3635382955771305,calm
2016-06-21,0.050457928981431095,0.05467845362447229,0.49467533574369266,0.3827956989247312,calm
2016-06-22,0.04613154287170306,0.016908739619829683,0.5073929085002143,0.3354769560557342,calm
2016-06-23,0.04505906254588977,0.007590181247603715,0.5162981323880406,0.33547008547008544,calm
2016-06-24,0.04793478951026193,-0.048747965950559954,0.6314600904176227,0.3450479233226837,calm
2016-06-27,0.04831690109269698,-0.05980189850891228,0.6468389615617818,0.346072186836518,calm
2016-06-28,0.049175807643763364,-0.05271468002271403,0.6312281871739184,0.34814814814814815,calm
2016-06-29,0.04957034720371805,-0.05135316084145871,0.6229292364032323,0.3533755274261603,calm
2016-06-30,0.04983327911708564,-0.04677330495890638,0.6146533049938255,0.35646687697160884,calm
2016-07-01,0.051381756071499834,-0.034241667874642535,0.6088400063283063,0.36582809224318663,calm
2016-07-05,0.05138311448360134,-0.03729625558126831,0.6135432487837454,0.3667711598746082,calm
2016-07-06,0.051059984376644475,-0.03627375072740648,0.6157158058415722,0.36562500000000003,calm
2016-07-07,0.05117563307295765,-0.03213501612345979,0.6140848299819532,0.367601246105919,calm
2016-07-08,0.053027575139520555,-0.01661275838254385,0.6083629002983246,0.3819875776397515,calm
